SUBJECT_NUMBER,Chest,Weight,Hip,Height,Waist,Inseam
114,41.42,194.26,40.43,68.31,37.36,29.75
117,40.51,190.3,41.14,72.05,36.06,34.47
118,39.17,156.86,38.19,67.95,32.83,29.94
122,38.03,179.52,39.29,70.2,32.48,31.72
123,40.63,166.32,38.11,65.71,35.98,29.91
126,36.89,131.78,34.61,69.21,29.88,34.71
195,39.84,185.02,40.55,70.39,37.44,31.64
203,38.58,181.28,40.43,72.01,34.88,32.5
207,40.12,182.16,39.92,68.7,35.51,31.4
208,42.09,184.36,41.81,64.69,38.23,30.22
211,41.06,182.82,40.35,66.85,37.95,30.26
214,41.77,198.88,42.01,67.99,36.57,31.8
220,41.26,172.92,38.94,68.27,36.42,29.24
222,40.98,165.22,37.6,66.3,34.41,29.43
223,35.28,152.24,37.8,65.63,32.83,29.16
224,42.44,173.8,38.82,66.14,38.62,29.16
225,40.47,185.46,40.24,70.28,34.02,33.84
226,39.09,184.58,39.02,74.21,33.35,35.34
228,39.33,169.18,37.72,72.48,32.72,34.16
289,38.62,187.44,40.71,67.01,35.91,31.13
290,44.96,215.38,43.27,68.43,38.74,31.32
295,37.56,152.68,36.26,68.19,32.72,32.54
297,39.65,156.64,35.91,68.46,31.69,31.4
298,38.23,170.94,37.83,73.9,30.63,34.91
299,38.78,172.04,39.41,67.91,33.74,31.95
302,36.85,166.32,40.31,67.09,33.39,31.87
310,40.24,185.68,41.26,68.82,36.22,30.65
311,38.78,158.4,38.19,64.84,33.54,29.67
315,34.29,133.32,35.31,66.89,28.62,30.42
316,41.18,182.6,39.41,69.33,34.61,31.87
317,39.69,163.46,38.58,65.79,32.36,28.41
320,39.84,174.02,41.26,64.72,33.62,29.43
321,42.44,179.52,39.88,68.46,37.48,32.5
322,35.59,150.48,36.97,68.86,30.91,31.56
376,42.87,222.86,41.81,72.64,36.73,35.26
377,42.52,223.96,43.7,76.93,38.43,34.94
383,37.6,171.16,37.36,72.6,31.18,35.61
384,35.43,128.7,34.8,63.03,31.06,29.43
385,37.24,183.48,39.76,72.68,33.86,34.75
386,38.82,159.94,37.87,65.83,36.14,29.63
389,40.79,231.66,44.49,76.14,37.44,36.36
393,37.52,178.64,39.21,73.31,32.52,33.33
397,37.87,145.2,36.1,66.69,32.13,31.4
406,40.87,184.8,40.79,68.5,37.05,31.76
407,40.43,204.16,42.2,68.46,35.91,30.69
409,41.1,181.06,39.41,67.68,33.62,29.87
411,36.89,160.6,37.2,67.8,33.66,31.24
413,42.87,190.74,40.47,69.92,37.52,32.03
414,43.27,236.72,45.04,74.69,40.39,34.12
419,41.18,172.48,39.02,68.11,35.0,30.77
423,40.31,181.94,39.21,66.46,37.48,27.62
425,42.68,194.26,42.2,66.61,37.2,29.67
426,44.17,194.04,41.14,70.0,35.2,33.02
432,36.34,170.28,36.97,71.81,30.55,33.92
475,37.36,159.72,36.77,68.66,33.39,33.17
476,42.52,190.96,39.61,69.41,35.98,32.35
478,40.12,201.52,41.02,73.19,36.89,35.3
481,45.35,197.78,41.34,65.71,39.09,30.02
485,37.09,146.08,35.51,67.13,31.02,30.69
488,34.72,160.6,37.24,69.09,29.37,32.23
489,40.35,194.7,42.44,69.13,36.18,32.27
490,40.51,189.2,39.92,73.46,34.29,33.57
491,42.28,216.7,43.23,72.32,37.05,34.0
