SUBJECT_NUMBER,Chest,Weight,Hip,Sleeve,Height,Waist,Neck,Inseam,Forearm
114,41.42,194.26,40.43,35.31,68.31,37.36,18.43,29.75,12.52
117,40.51,190.3,41.14,36.42,72.05,36.06,16.42,34.47,11.57
118,39.17,156.86,38.19,34.45,67.95,32.83,16.34,29.94,11.1
122,38.03,179.52,39.29,35.16,70.2,32.48,17.13,31.72,12.13
123,40.63,166.32,38.11,32.05,65.71,35.98,15.71,29.91,11.5
126,36.89,131.78,34.61,34.45,69.21,29.88,14.61,34.71,11.22
195,39.84,185.02,40.55,34.33,70.39,37.44,16.22,31.64,11.89
203,38.58,181.28,40.43,35.63,72.01,34.88,15.51,32.5,11.18
207,40.12,182.16,39.92,35.67,68.7,35.51,16.69,31.4,11.61
208,42.09,184.36,41.81,34.49,64.69,38.23,15.83,30.22,12.52
211,41.06,182.82,40.35,32.68,66.85,37.95,17.87,30.26,12.09
214,41.77,198.88,42.01,34.92,67.99,36.57,16.02,31.8,12.91
220,41.26,172.92,38.94,34.29,68.27,36.42,16.81,29.24,11.3
222,40.98,165.22,37.6,33.7,66.3,34.41,15.63,29.43,11.57
223,35.28,152.24,37.8,31.57,65.63,32.83,15.28,29.16,10.94
224,42.44,173.8,38.82,35.35,66.14,38.62,17.91,29.16,11.73
225,40.47,185.46,40.24,35.2,70.28,34.02,16.22,33.84,12.72
226,39.09,184.58,39.02,37.52,74.21,33.35,16.3,35.34,12.13
228,39.33,169.18,37.72,36.38,72.48,32.72,16.46,34.16,11.73
289,38.62,187.44,40.71,34.92,67.01,35.91,16.77,31.13,13.15
290,44.96,215.38,43.27,35.75,68.43,38.74,17.09,31.32,14.02
295,37.56,152.68,36.26,34.8,68.19,32.72,15.98,32.54,11.61
297,39.65,156.64,35.91,33.94,68.46,31.69,15.75,31.4,11.61
298,38.23,170.94,37.83,36.42,73.9,30.63,16.5,34.91,12.72
299,38.78,172.04,39.41,34.17,67.91,33.74,15.63,31.95,12.28
302,36.85,166.32,40.31,33.5,67.09,33.39,15.2,31.87,11.14
310,40.24,185.68,41.26,36.22,68.82,36.22,17.09,30.65,12.6
311,38.78,158.4,38.19,33.27,64.84,33.54,15.94,29.67,11.5
315,34.29,133.32,35.31,33.43,66.89,28.62,14.96,30.42,10.59
316,41.18,182.6,39.41,35.08,69.33,34.61,17.13,31.87,12.4
317,39.69,163.46,38.58,33.46,65.79,32.36,16.1,28.41,11.77
320,39.84,174.02,41.26,32.68,64.72,33.62,16.26,29.43,12.05
321,42.44,179.52,39.88,34.76,68.46,37.48,17.56,32.5,11.89
322,35.59,150.48,36.97,34.25,68.86,30.91,15.16,31.56,11.34
376,42.87,222.86,41.81,37.56,72.64,36.73,17.95,35.26,14.41
377,42.52,223.96,43.7,38.15,76.93,38.43,16.65,34.94,12.48
383,37.6,171.16,37.36,35.59,72.6,31.18,15.12,35.61,12.2
384,35.43,128.7,34.8,32.48,63.03,31.06,14.37,29.43,10.91
385,37.24,183.48,39.76,36.77,72.68,33.86,16.02,34.75,12.6
386,38.82,159.94,37.87,34.37,65.83,36.14,16.42,29.63,11.5
389,40.79,231.66,44.49,37.17,76.14,37.44,16.65,36.36,12.64
393,37.52,178.64,39.21,36.14,73.31,32.52,16.97,33.33,11.38
397,37.87,145.2,36.1,33.11,66.69,32.13,15.71,31.4,11.34
406,40.87,184.8,40.79,34.84,68.5,37.05,17.05,31.76,12.05
407,40.43,204.16,42.2,35.12,68.46,35.91,16.89,30.69,13.66
409,41.1,181.06,39.41,34.29,67.68,33.62,17.52,29.87,12.52
411,36.89,160.6,37.2,34.76,67.8,33.66,16.54,31.24,12.17
413,42.87,190.74,40.47,35.63,69.92,37.52,16.61,32.03,11.65
414,43.27,236.72,45.04,37.76,74.69,40.39,18.15,34.12,13.58
419,41.18,172.48,39.02,33.74,68.11,35.0,16.06,30.77,11.3
423,40.31,181.94,39.21,33.5,66.46,37.48,16.46,27.62,12.87
425,42.68,194.26,42.2,34.61,66.61,37.2,16.1,29.67,12.95
426,44.17,194.04,41.14,35.98,70.0,35.2,15.55,33.02,11.85
432,36.34,170.28,36.97,35.43,71.81,30.55,15.98,33.92,11.77
475,37.36,159.72,36.77,34.21,68.66,33.39,15.63,33.17,11.3
476,42.52,190.96,39.61,36.65,69.41,35.98,15.71,32.35,12.2
478,40.12,201.52,41.02,36.97,73.19,36.89,15.55,35.3,12.09
481,45.35,197.78,41.34,35.08,65.71,39.09,16.61,30.02,13.7
485,37.09,146.08,35.51,33.43,67.13,31.02,15.91,30.69,11.34
488,34.72,160.6,37.24,33.58,69.09,29.37,16.34,32.23,12.2
489,40.35,194.7,42.44,34.33,69.13,36.18,17.72,32.27,12.99
490,40.51,189.2,39.92,35.79,73.46,34.29,16.06,33.57,12.4
491,42.28,216.7,43.23,35.91,72.32,37.05,16.22,34.0,12.64
492,40.59,184.14,39.84,35.59,69.21,35.28,16.65,32.86,12.48
514,39.69,190.08,40.35,36.22,72.32,31.06,16.22,36.32,12.95
518,33.62,148.28,35.75,35.55,72.24,27.87,15.04,35.69,11.3
520,40.35,198.66,42.05,35.87,69.13,35.71,17.52,32.03,12.56
532,39.17,202.4,41.14,36.73,74.29,37.24,16.73,33.96,11.85
550,42.99,203.28,40.0,35.35,71.54,36.54,17.36,32.15,13.94
575,37.87,156.42,37.44,35.04,67.72,31.65,15.35,32.11,11.85
579,41.69,200.42,41.73,35.04,72.28,36.34,16.42,32.94,12.13
682,35.47,144.32,36.18,32.48,63.66,30.12,17.44,29.28,11.81
704,33.54,124.3,33.27,31.81,65.75,26.89,15.16,28.69,10.75
706,37.2,170.28,38.74,34.17,70.71,31.54,15.24,32.11,12.13
