SUBJECT_NUMBER,Chest,Weight,Hip,Height,Waist,Inseam
152,44.41,175.34,40.59,65.59,34.84,28.61
157,35.63,109.34,36.54,60.16,26.46,25.5
244,37.83,125.84,37.72,61.69,26.61,27.07
245,38.15,163.9,39.72,72.28,29.92,33.69
252,33.35,115.94,38.62,60.87,27.48,26.87
262,33.82,120.56,36.1,60.0,25.79,27.11
267,36.61,177.32,41.26,72.28,30.2,35.57
272,37.72,137.5,37.91,64.02,30.24,28.25
273,35.43,118.8,36.77,60.98,27.01,27.03
274,30.55,106.7,34.8,64.25,23.54,28.65
325,37.72,132.66,36.38,65.43,27.28,30.65
326,34.09,118.36,36.69,63.82,26.54,28.25
328,31.85,113.96,35.2,64.88,24.37,29.91
329,36.02,133.98,38.19,64.29,27.64,29.79
330,36.85,128.7,37.05,64.8,26.38,28.17
336,37.83,165.0,41.42,67.99,30.63,29.91
337,41.73,186.56,45.0,64.41,34.33,28.37
341,38.27,135.08,38.03,64.02,30.83,29.04
344,34.45,127.16,38.15,61.73,25.51,27.86
346,34.17,139.7,39.25,63.66,29.29,29.75
347,33.94,125.62,38.27,61.14,27.8,27.54
348,31.61,109.56,35.55,60.43,25.79,26.44
349,33.94,119.46,33.94,65.12,25.75,29.87
352,38.07,143.0,40.55,65.2,27.8,29.55
354,32.36,97.46,33.11,59.76,23.74,26.87
355,38.23,144.1,38.54,64.65,30.98,28.8
356,35.67,148.28,38.66,66.22,29.72,29.2
357,35.79,140.36,38.82,66.93,28.35,31.4
358,35.28,121.44,39.13,59.72,29.84,25.93
359,42.2,177.54,44.33,64.76,38.15,31.48
361,34.72,134.2,39.25,66.26,27.72,30.14
362,40.51,148.94,39.45,65.47,30.08,29.79
363,34.45,121.66,36.54,66.18,28.15,30.97
367,34.61,107.14,34.29,60.67,26.85,25.26
371,39.09,132.66,37.83,64.06,29.21,29.39
372,40.87,162.14,41.38,65.16,33.15,28.69
436,31.97,119.46,36.34,63.78,25.24,27.82
437,39.17,134.2,38.03,59.25,33.5,26.8
438,39.72,180.62,43.5,70.67,33.19,31.24
439,34.09,150.26,38.74,71.18,28.19,34.28
440,37.76,141.9,38.94,65.2,30.91,29.67
443,39.45,152.68,40.43,65.24,32.72,29.16
444,35.79,127.16,38.07,62.83,28.9,29.47
445,31.42,99.88,34.17,60.94,25.0,27.58
446,35.79,137.5,40.31,62.99,31.14,28.65
447,32.76,119.68,34.88,65.94,24.96,31.36
449,34.17,131.56,39.25,63.78,27.4,28.88
456,35.08,144.54,39.76,62.8,31.02,29.31
458,36.18,132.0,38.23,63.58,27.4,28.06
464,38.03,172.92,40.98,63.9,32.44,28.25
466,38.94,169.18,43.58,64.92,33.35,29.0
467,39.33,167.2,41.61,67.17,34.53,32.5
469,35.0,131.12,37.32,63.39,28.11,29.94
470,36.06,129.8,38.35,62.95,29.33,29.28
471,33.35,140.36,39.69,68.74,27.09,31.48
473,37.01,136.62,37.87,63.46,27.76,30.57
474,31.93,110.22,35.75,62.95,26.3,29.08
500,34.57,133.98,37.17,64.96,29.06,29.71
502,40.0,168.08,44.72,65.28,34.96,29.31
503,33.15,130.9,37.36,61.3,27.52,28.92
504,35.59,132.66,39.45,63.58,30.12,29.51
505,39.09,152.9,41.46,64.29,31.34,29.59
507,34.06,134.86,38.5,62.6,28.58,28.69
508,38.54,142.12,39.29,62.32,32.05,27.58
509,34.41,129.58,38.43,62.13,27.76,28.96
510,30.83,100.1,34.02,62.6,24.41,27.35
