SUBJECT_NUMBER,Chest,Weight,Hip,Sleeve,Height,Waist,Neck,Inseam,Forearm
152,44.41,175.34,40.59,33.74,65.59,34.84,15.39,28.61,10.59
157,35.63,109.34,36.54,28.62,60.16,26.46,13.58,25.5,8.98
244,37.83,125.84,37.72,31.81,61.69,26.61,13.5,27.07,9.37
245,38.15,163.9,39.72,34.65,72.28,29.92,14.29,33.69,10.28
252,33.35,115.94,38.62,30.47,60.87,27.48,12.8,26.87,9.57
262,33.82,120.56,36.1,30.24,60.0,25.79,13.86,27.11,9.45
267,36.61,177.32,41.26,37.09,72.28,30.2,15.04,35.57,11.61
272,37.72,137.5,37.91,31.81,64.02,30.24,14.61,28.25,10.55
273,35.43,118.8,36.77,29.49,60.98,27.01,13.35,27.03,9.06
274,30.55,106.7,34.8,30.94,64.25,23.54,12.48,28.65,8.74
325,37.72,132.66,36.38,32.28,65.43,27.28,14.29,30.65,10.24
326,34.09,118.36,36.69,31.54,63.82,26.54,12.8,28.25,9.29
328,31.85,113.96,35.2,31.93,64.88,24.37,13.15,29.91,8.94
329,36.02,133.98,38.19,30.91,64.29,27.64,13.82,29.79,9.76
330,36.85,128.7,37.05,31.46,64.8,26.38,13.23,28.17,10.04
336,37.83,165.0,41.42,33.27,67.99,30.63,14.72,29.91,10.91
337,41.73,186.56,45.0,31.89,64.41,34.33,15.0,28.37,11.5
341,38.27,135.08,38.03,30.0,64.02,30.83,13.15,29.04,9.57
344,34.45,127.16,38.15,30.08,61.73,25.51,13.07,27.86,10.08
346,34.17,139.7,39.25,31.97,63.66,29.29,13.58,29.75,10.08
347,33.94,125.62,38.27,29.45,61.14,27.8,13.03,27.54,9.13
348,31.61,109.56,35.55,29.84,60.43,25.79,12.76,26.44,9.25
349,33.94,119.46,33.94,32.56,65.12,25.75,13.39,29.87,9.41
352,38.07,143.0,40.55,31.06,65.2,27.8,14.33,29.55,9.53
354,32.36,97.46,33.11,29.17,59.76,23.74,12.52,26.87,8.5
355,38.23,144.1,38.54,31.02,64.65,30.98,13.74,28.8,10.35
356,35.67,148.28,38.66,33.46,66.22,29.72,13.98,29.2,10.31
357,35.79,140.36,38.82,33.94,66.93,28.35,14.09,31.4,10.31
358,35.28,121.44,39.13,30.43,59.72,29.84,13.15,25.93,9.37
359,42.2,177.54,44.33,34.29,64.76,38.15,15.04,31.48,10.79
361,34.72,134.2,39.25,31.61,66.26,27.72,13.39,30.14,9.88
362,40.51,148.94,39.45,33.27,65.47,30.08,14.96,29.79,10.16
363,34.45,121.66,36.54,31.81,66.18,28.15,13.62,30.97,9.8
367,34.61,107.14,34.29,28.58,60.67,26.85,13.58,25.26,9.57
